exp =   -19 | value =    69, exp =   -76, mad's 0.00054 | ours 0.00054 | ours - mad = 0.00000
exp =   -19 | value =    70, exp =   -76, mad's 0.00055 | ours 0.00055 | ours - mad = -0.00000
exp =   -19 | value =    68, exp =   -76, mad's 0.00053 | ours 0.00053 | ours - mad = -0.00000
exp =   -19 | value =    66, exp =   -76, mad's 0.00051 | ours 0.00051 | ours - mad = -0.00000
exp =   -19 | value =    62, exp =   -76, mad's 0.00047 | ours 0.00047 | ours - mad = 0.00000
exp =   -19 | value =    58, exp =   -76, mad's 0.00043 | ours 0.00043 | ours - mad = -0.00000
exp =   -19 | value =    53, exp =   -76, mad's 0.00038 | ours 0.00038 | ours - mad = -0.00000
exp =   -19 | value =    47, exp =   -76, mad's 0.00032 | ours 0.00032 | ours - mad = -0.00000
exp =   -19 | value =    41, exp =   -76, mad's 0.00027 | ours 0.00027 | ours - mad = -0.00000
exp =   -19 | value =    34, exp =   -76, mad's 0.00021 | ours 0.00021 | ours - mad = 0.00000
exp =   -19 | value =    28, exp =   -76, mad's 0.00016 | ours 0.00016 | ours - mad = -0.00000
exp =   -19 | value =    20, exp =   -76, mad's 0.00010 | ours 0.00010 | ours - mad = -0.00000
exp =   -19 | value =    21, exp =   -76, mad's 0.00011 | ours 0.00011 | ours - mad = -0.00000
exp =   -19 | value =    19, exp =   -76, mad's 0.00010 | ours 0.00010 | ours - mad = 0.00000
exp =   -19 | value =    22, exp =   -76, mad's 0.00012 | ours 0.00012 | ours - mad = 0.00000
exp =   -19 | value =    27, exp =   -76, mad's 0.00015 | ours 0.00015 | ours - mad = -0.00000
exp =   -19 | value =    32, exp =   -76, mad's 0.00019 | ours 0.00019 | ours - mad = -0.00000
exp =   -19 | value =    36, exp =   -76, mad's 0.00023 | ours 0.00023 | ours - mad = 0.00000
exp =   -19 | value =    39, exp =   -76, mad's 0.00025 | ours 0.00025 | ours - mad = -0.00000
exp =   -19 | value =    39, exp =   -76, mad's 0.00025 | ours 0.00025 | ours - mad = -0.00000
exp =   -19 | value =    39, exp =   -76, mad's 0.00025 | ours 0.00025 | ours - mad = -0.00000
exp =   -19 | value =    37, exp =   -76, mad's 0.00024 | ours 0.00024 | ours - mad = -0.00000
exp =   -19 | value =    35, exp =   -76, mad's 0.00022 | ours 0.00022 | ours - mad = -0.00000
exp =   -19 | value =    33, exp =   -76, mad's 0.00020 | ours 0.00020 | ours - mad = -0.00000
7 | ours 0.00017 | ours - mad = -0.00000
exp =   -19 | value =    25, exp =   -76, mad's 0.00014 | ours 0.00014 | ours - mad = 0.00000
exp =   -19 | value =    21, exp =   -76, mad's 0.00011 | ours 0.00011 | ours - mad = -0.00000
exp =   -19 | value =    16, exp =   -76, mad's 0.00008 | ours 0.00008 | ours - mad = -0.00000
exp =   -19 | value =    10, exp =   -76, mad's 0.00004 | ours 0.00004 | ours - mad = -0.00000
exp =   -19 | value =     5, exp =   -76, mad's 0.00002 | ours 0.00002 | ours - mad = -0.00000
exp =   -19 | value =     4, exp =   -76, mad's 0.00001 | ours 0.00001 | ours - mad = -0.00000
exp =   -19 | value =     3, exp =   -76, mad's 0.00001 | ours 0.00001 | ours - mad = 0.00000
